"Reporting_Date","Congressional_District","UNA","DEM","REP","Total"
2019-12-31,"1",197891,239768,88714,533385
2019-12-31,"2",203285,158485,141385,510198
2019-12-31,"3",215990,164976,154222,541660
2019-12-31,"4",228033,139714,161813,535625
2019-12-31,"5",218209,162705,156191,542390
2019-12-31,"6",196420,190470,78620,472257
2019-12-31,"7",218123,166916,168722,558713
2019-12-31,"8",145990,222559,38519,413231
2019-12-31,"9",179709,199161,66872,452446
2019-12-31,"10",168514,283582,27884,486339
2019-12-31,"11",214724,173597,175097,568363
2019-12-31,"12",198319,216755,78534,500023
2019-12-31,"Statewide_Total",2385207,2318688,1336573,6114630
2020-02-01,"1",198133,239940,88820,533921
2020-02-01,"2",203827,158673,141777,511371
2020-02-01,"3",216067,165019,154177,541756
2020-02-01,"4",228402,139963,162127,536622
2020-02-01,"5",218143,162760,156152,542344
2020-02-01,"6",196830,190661,78838,473107
2020-02-01,"7",218339,167116,168563,558977
2020-02-01,"8",146542,222969,38611,414334
2020-02-01,"9",180053,199203,66895,452856
2020-02-01,"10",168857,283678,27893,486863
2020-02-01,"11",214853,173620,174955,568368
2020-02-01,"12",198451,216663,78477,499998
2020-02-01,"Statewide_Total",2388497,2320265,1337285,6120517
2020-03-01,"1",199064,240957,89539,536847
2020-03-01,"2",204256,159077,142567,513211
2020-03-01,"3",216897,165645,154763,543936
2020-03-01,"4",228745,140389,162459,537859
2020-03-01,"5",219725,165021,157255,547652
2020-03-01,"6",196965,190573,78933,473294
2020-03-01,"7",219039,168125,168507,560783
2020-03-01,"8",147015,223838,39052,416323
2020-03-01,"9",180931,200461,67512,455894
2020-03-01,"10",169437,285329,28214,489713
2020-03-01,"11",215178,174400,174862,569481
2020-03-01,"12",198917,217436,78545,501516
2020-03-01,"Statewide_Total",2396169,2331251,1342208,6146509
2020-04-01,"1",199407,241541,89905,538270
2020-04-01,"2",204514,159505,142978,514446
2020-04-01,"3",217330,166655,155458,546212
2020-04-01,"4",229145,140867,162957,539320
2020-04-01,"5",220059,165790,157389,548954
2020-04-01,"6",197013,190646,79062,473561
2020-04-01,"7",219923,169597,168776,563477
2020-04-01,"8",147413,224415,39259,417629
2020-04-01,"9",181568,201562,67925,458300
2020-04-01,"10",169752,286023,28386,490999
2020-04-01,"11",215815,175639,175278,571921
2020-04-01,"12",199518,218238,78764,503235
2020-04-01,"Statewide_Total",2401457,2340478,1346137,6166324
2020-05-01,"1",199435,241359,89873,538063
2020-05-01,"2",204743,159768,143293,515320
2020-05-01,"3",217553,166784,155577,546731
2020-05-01,"4",229199,140844,162941,539333
2020-05-01,"5",220147,165919,157395,549152
2020-05-01,"6",197411,191631,79552,475609
2020-05-01,"7",220414,169928,168680,564222
2020-05-01,"8",147492,224211,39302,417545
2020-05-01,"9",181739,201604,67935,458514
2020-05-01,"10",169921,286076,28411,491250
2020-05-01,"11",216131,175979,175236,572544
2020-05-01,"12",200372,219353,79446,506043
2020-05-01,"Statewide_Total",2404557,2343456,1347641,6174326
2020-06-01,"1",199593,241321,89886,538174
2020-06-01,"2",204927,159757,143506,515699
2020-06-01,"3",217824,166791,155686,547118
2020-06-01,"4",229511,140597,162893,539333
2020-06-01,"5",220196,165881,157184,548936
2020-06-01,"6",198019,192154,79951,477212
2020-06-01,"7",220733,169876,168518,564332
2020-06-01,"8",147698,224068,39358,417618
2020-06-01,"9",181771,201370,67869,458224
2020-06-01,"10",170065,285947,28426,491261
2020-06-01,"11",216345,176060,174881,572476
2020-06-01,"12",200888,219493,79488,506758
2020-06-01,"Statewide_Total",2407570,2343315,1347646,6177141
2020-07-01,"1",190549,248776,92739,539414
2020-07-01,"2",196108,166547,147182,517290
2020-07-01,"3",204196,176171,161261,548456
2020-07-01,"4",219422,147143,168143,541011
2020-07-01,"5",209761,174044,160741,550212
2020-07-01,"6",196598,193833,80807,478332
2020-07-01,"7",215428,174597,170528,565753
2020-07-01,"8",144224,228445,40037,419172
2020-07-01,"9",177992,205222,68869,459276
2020-07-01,"10",169287,287886,28696,492664
2020-07-01,"11",215628,177776,175383,573971
2020-07-01,"12",200644,221251,79692,508439
2020-07-01,"Statewide_Total",2339837,2401691,1374078,6193990
2020-08-01,"1",189693,249058,92937,539013
2020-08-01,"2",189572,171016,150377,518477
2020-08-01,"3",202364,179185,162906,551351
2020-08-01,"4",219097,148736,169599,543836
2020-08-01,"5",205931,178686,162575,552892
2020-08-01,"6",194750,195501,81455,478805
2020-08-01,"7",208023,180866,173263,567331
2020-08-01,"8",141507,231993,40594,420571
2020-08-01,"9",173252,210383,70195,461057
2020-08-01,"10",166973,291348,29179,494301
2020-08-01,"11",210126,183068,177628,575979
2020-08-01,"12",198186,223800,80146,509003
2020-08-01,"Statewide_Total",2299474,2443640,1390854,6212616
2020-09-01,"1",187971,251819,94456,541635
2020-09-01,"2",190346,172142,151711,521782
2020-09-01,"3",201712,181766,164761,555211
2020-09-01,"4",219933,149295,170308,545978
2020-09-01,"5",207193,180232,163467,556661
2020-09-01,"6",191755,201107,83543,483623
2020-09-01,"7",209858,181573,173407,570062
2020-09-01,"8",141701,232593,40812,421611
2020-09-01,"9",173501,211408,70695,462847
2020-09-01,"10",165648,293593,29316,495414
2020-09-01,"11",209536,185257,178547,578548
2020-09-01,"12",194206,229415,82001,512513
2020-09-01,"Statewide_Total",2293360,2470200,1403024,6245885
2020-10-01,"1",195743,255616,97207,556009
2020-10-01,"2",195222,173489,154645,531110
2020-10-01,"3",205599,183496,168058,564213
2020-10-01,"4",225624,151273,173756,557125
2020-10-01,"5",214506,182298,165029,567586
2020-10-01,"6",194024,201359,84416,486981
2020-10-01,"7",217151,184627,175038,582132
2020-10-01,"8",147405,234982,41830,430806
2020-10-01,"9",180137,212659,72250,472195
2020-10-01,"10",170994,298346,29937,506137
2020-10-01,"11",217150,188503,180415,591276
2020-10-01,"12",198614,232328,82738,520616
2020-10-01,"Statewide_Total",2362169,2498976,1425319,6366186
